Shape,Carat,Cut,Color,Clarity,Polish,Symmetry,L/W Ratio,Report,Depth,Table,Fluorescence,Culet,Date Loose,Price,ln price,ln carat
 Princess,0.31,Very Good,E,SI1,VG,VG,1.01,GIA,74.5,60,None,None,12/10/2008,359.00,5.88332239,-1.171183
 Round,0.32,Very Good,E,SI2,EX,VG,1.02,GIA,59.6,61,Medium,None,12/10/2008,359.00,5.88332239,-1.1394343
 Princess,0.25,Very Good,E,SI1,G,G,1,GIA,69.2,69,None,None,12/10/2008,360.00,5.88610403,-1.3862944
 Princess,0.3,Good,H,VS1,VG,VG,1.03,GIA,77.2,75,None,None,12/10/2008,360.00,5.88610403,-1.2039728
 Round,0.35,Very Good,H,SI2,G,G,1.01,GIA,60.4,59,None,Small,12/10/2008,360.00,5.88610403,-1.0498221
 Princess,0.35,Very Good,E,SI1,G,G,1.06,GIA,68.7,77,None,None,12/10/2008,360.00,5.88610403,-1.0498221
 Round,0.26,Ideal,H,VS1,EX,EX,1.01,GIA,61.5,55,Strong,None,12/10/2008,361.00,5.88887796,-1.3470736
 Round,0.26,Ideal,E,SI1,EX,EX,1.01,GIA,62.5,55,Strong,None,12/10/2008,361.00,5.88887796,-1.3470736
 Round,0.3,Good,H,SI1,G,VG,1,GIA,61.1,61,None,None,12/10/2008,361.00,5.88887796,-1.2039728
 Round,0.3,Ideal,H,SI1,EX,EX,1,GIA,62.4,55,None,None,12/10/2008,361.00,5.88887796,-1.2039728
 Round,0.32,Very Good,H,SI2,G,G,1,GIA,62.7,58,None,None,12/10/2008,361.00,5.88887796,-1.1394343
 Round,0.34,Ideal,H,SI2,VG,VG,1.01,GIA,61,58,None,None,12/10/2008,361.00,5.88887796,-1.0788097
 Round,0.27,Ideal,H,SI1,VG,VG,1.02,GIA,60.5,61,None,Very Small,12/10/2008,362.00,5.89164421,-1.3093333
 Round,0.27,Ideal,H,SI1,VG,VG,1.01,GIA,58.7,61,None,Small,12/10/2008,362.00,5.89164421,-1.3093333
 Round,0.32,Ideal,H,SI2,EX,EX,1.01,GIA,61.5,55,None,None,12/10/2008,362.00,5.89164421,-1.1394343
 Round,0.24,Good,E,SI1,G,G,1.01,GIA,63.3,60,None,None,12/10/2008,363.00,5.89440283,-1.4271164
 Round,0.24,Good,E,SI1,G,VG,1,GIA,58,63,None,None,12/10/2008,363.00,5.89440283,-1.4271164
 Round,0.27,Ideal,H,SI1,EX,EX,1,GIA,61.5,56,None,None,12/10/2008,363.00,5.89440283,-1.3093333
 Round,0.27,Ideal,H,SI1,EX,EX,1,GIA,61.2,56,Faint,None,12/10/2008,363.00,5.89440283,-1.3093333
 Round,0.27,Ideal,H,SI1,EX,EX,1,GIA,61.7,55,None,None,12/10/2008,363.00,5.89440283,-1.3093333
 Round,0.27,Ideal,H,SI1,EX,EX,1,GIA,61.7,56,None,None,12/10/2008,363.00,5.89440283,-1.3093333
 Round,0.27,Ideal,H,SI1,EX,EX,1.01,GIA,61.5,56,None,None,12/10/2008,363.00,5.89440283,-1.3093333
 Round,0.31,Ideal,H,SI2,ID,ID,1,AGSL,61.8,56,None,None,12/10/2008,363.00,5.89440283,-1.171183
 Round,0.27,Very Good,H,SI2,VG,G,1,GIA,61.4,62,None,None,12/10/2008,364.00,5.89715387,-1.3093333
 Round,0.34,Very Good,H,SI2,VG,G,1,GIA,62.6,58,None,None,12/10/2008,364.00,5.89715387,-1.0788097
 Round,0.23,Very Good,D,SI1,G,VG,1.01,GIA,62.8,60,None,Very Small,12/09/2008,365.00,5.89989735,-1.469676
 Round,0.23,Very Good,D,SI1,EX,VG,1.01,GIA,63,62,Medium,None,12/09/2008,365.00,5.89989735,-1.469676
 Round,0.23,Good,D,SI1,G,VG,1.01,GIA,59.8,64,None,None,12/09/2008,365.00,5.89989735,-1.469676
 Round,0.23,Good,D,SI1,VG,VG,1.02,GIA,62,62,Medium,None,12/09/2008,365.00,5.89989735,-1.469676
 Round,0.23,Good,D,SI1,G,VG,1,GIA,58.4,58,None,Very Small,12/09/2008,365.00,5.89989735,-1.469676
 Round,0.23,Ideal,D,SI1,VG,VG,1.01,GIA,59.8,60,Faint,None,12/09/2008,365.00,5.89989735,-1.469676
 Round,0.23,Good,D,SI1,VG,VG,1.02,GIA,66.2,56,None,None,12/09/2008,365.00,5.89989735,-1.469676
 Round,0.23,Good,D,SI1,G,VG,1.01,GIA,64.8,57,Medium,None,12/09/2008,365.00,5.89989735,-1.469676
 Round,0.23,Good,D,SI1,VG,VG,1.01,GIA,60.2,59,None,None,12/09/2008,365.00,5.89989735,-1.469676
 Round,0.23,Ideal,D,SI1,VG,VG,1.01,GIA,58.6,60,None,None,12/09/2008,365.00,5.89989735,-1.469676
 Round,0.23,Good,D,SI1,G,VG,1.01,GIA,64.6,58,None,None,12/09/2008,365.00,5.89989735,-1.469676
 Round,0.23,Ideal,G,VS2,VG,EX,1.01,GIA,61.9,54,None,None,12/10/2008,366.00,5.90263333,-1.469676
 Round,0.23,Ideal,G,VS2,VG,EX,1.01,GIA,61.5,57,None,None,12/10/2008,366.00,5.90263333,-1.469676
 Round,0.23,Ideal,G,VS2,EX,VG,1.01,GIA,61.5,56,None,None,12/10/2008,366.00,5.90263333,-1.469676
 Round,0.23,Ideal,G,VS2,EX,EX,1.01,GIA,61.4,55,None,None,12/10/2008,366.00,5.90263333,-1.469676
 Princess,0.23,Very Good,D,VVS2,VG,G,1.08,GIA,67.3,69,None,None,12/09/2008,366.00,5.90263333,-1.469676
 Round,0.3,Very Good,D,SI2,EX,EX,1.01,GIA,63.1,56,None,None,12/16/2008,366.00,5.90263333,-1.2039728
 Princess,0.31,Very Good,G,SI1,EX,VG,1.02,GIA,72.8,73,None,None,12/11/2008,366.00,5.90263333,-1.171183
 Princess,0.31,Very Good,G,SI1,EX,G,1.02,GIA,71.9,71,None,None,12/11/2008,366.00,5.90263333,-1.171183
 Emerald,0.27,Fair,D,VVS2,G,VG,1.32,GIA,58.4,78,None,None,12/09/2008,367.00,5.90536185,-1.3093333
 Round,0.31,Very Good,G,SI2,ID,ID,1.01,AGSL,61.7,55,None,Pointed,12/10/2008,367.00,5.90536185,-1.171183
 Round,0.31,Ideal,G,SI2,EX,VG,1.01,GIA,61,55,None,None,12/10/2008,367.00,5.90536185,-1.171183
 Round,0.31,Ideal,G,SI2,VG,VG,1.01,GIA,62.3,58,Medium,None,12/10/2008,367.00,5.90536185,-1.171183
 Princess,0.31,Good,G,VVS2,VG,G,1.03,GIA,71.4,79,None,None,12/10/2008,367.00,5.90536185,-1.171183
 Round,0.33,Ideal,G,SI2,VG,VG,1.01,GIA,61.8,56,None,None,12/10/2008,367.00,5.90536185,-1.1086626
 Princess,0.33,Good,D,SI2,EX,G,1.02,GIA,79,78,Medium Blue,None,12/10/2008,367.00,5.90536185,-1.1086626
 Princess,0.24,Good,G,VS1,VG,VG,1.02,GIA,67.4,80,None,None,12/10/2008,368.00,5.90808294,-1.4271164
 Emerald,0.25,Very Good,D,VS1,VG,VG,1.49,GIA,65,69,None,None,12/17/2008,368.00,5.90808294,-1.3862944
 Emerald,0.26,Very Good,D,VS2,VG,G,1.36,GIA,66.5,63,Medium,None,12/09/2008,368.00,5.90808294,-1.3470736
 Round,0.32,Very Good,G,SI2,VG,VG,1.01,GIA,60,59,None,None,12/10/2008,368.00,5.90808294,-1.1394343
 Round,0.33,Ideal,G,SI2,VG,VG,1,GIA,62.8,56,None,None,12/11/2008,368.00,5.90808294,-1.1086626
 Round,0.33,Very Good,G,SI2,G,VG,1.01,GIA,59,61,None,None,12/11/2008,368.00,5.90808294,-1.1086626
 Round,0.33,Very Good,G,SI2,VG,G,1,GIA,62.5,59,None,None,12/11/2008,368.00,5.90808294,-1.1086626
 Round,0.33,Very Good,G,SI2,G,VG,1.01,GIA,62.4,59,None,None,12/10/2008,368.00,5.90808294,-1.1086626
 Princess,0.33,Very Good,G,SI1,EX,VG,1.04,GIA,72.2,72,None,None,12/11/2008,369.00,5.91079664,-1.1086626
 Princess,0.34,Good,G,VS2,G,G,1.03,GIA,76.5,71,None,None,12/10/2008,369.00,5.91079664,-1.0788097
 Round,0.26,Ideal,D,SI2,EX,VG,1,GIA,61.7,55,None,None,12/09/2008,370.00,5.91350301,-1.3470736
 Round,0.29,Ideal,F,SI2,EX,EX,1,GIA,61,56,None,None,12/10/2008,371.00,5.91620206,-1.2378744
 Round,0.33,Good,F,SI2,VG,VG,1.01,GIA,59.2,59,None,None,12/10/2008,371.00,5.91620206,-1.1086626
 Round,0.26,Good,F,SI2,VG,VG,1.01,GIA,60.7,64,None,None,12/10/2008,372.00,5.91889385,-1.3470736
 Round,0.26,Very Good,F,SI2,G,VG,1.01,GIA,63.5,57,Faint,None,12/10/2008,372.00,5.91889385,-1.3470736
 Round,0.26,Ideal,D,SI2,EX,EX,1,GIA,61.6,56,None,None,12/09/2008,373.00,5.92157842,-1.3470736
 Princess,0.34,Good,D,SI1,VG,G,1.03,GIA,77.4,71,None,None,12/09/2008,373.00,5.92157842,-1.0788097
 Princess,0.26,Good,F,VS2,VG,G,1.03,GIA,76,78,None,None,12/10/2008,374.00,5.9242558,-1.3470736
 Round,0.26,Ideal,F,SI1,VG,VG,1.01,GIA,62.2,55,None,None,12/10/2008,374.00,5.9242558,-1.3470736
 Round,0.26,Ideal,F,SI1,EX,VG,1,GIA,60.6,57,Medium,None,12/10/2008,374.00,5.9242558,-1.3470736
 Round,0.26,Very Good,F,SI1,G,VG,1.01,GIA,61.6,62,None,None,12/10/2008,374.00,5.9242558,-1.3470736
 Round,0.26,Good,F,SI1,VG,VG,1,GIA,62.7,63,None,None,12/10/2008,374.00,5.9242558,-1.3470736
 Round,0.26,Good,F,SI1,VG,G,1.01,GIA,62.4,64,Medium,None,12/10/2008,374.00,5.9242558,-1.3470736
 Round,0.26,Ideal,F,SI1,VG,VG,1.01,GIA,62.1,54,None,None,12/10/2008,374.00,5.9242558,-1.3470736
 Princess,0.31,Good,H,VS1,G,VG,1,GIA,67.4,79,None,None,12/10/2008,374.00,5.9242558,-1.171183
 Princess,0.32,Very Good,F,SI1,G,G,1.01,GIA,74,72,Strong Blue,None,12/10/2008,374.00,5.9242558,-1.1394343
 Princess,0.25,Good,F,VS1,G,G,1,GIA,79.1,67,None,None,12/10/2008,375.00,5.92692603,-1.3862944
 Round,0.31,Good,H,SI1,VG,VG,1.01,GIA,58.3,62,Medium,None,12/10/2008,375.00,5.92692603,-1.171183
 Round,0.31,Very Good,H,SI1,VG,VG,1.01,GIA,63.2,57,Medium,None,12/10/2008,375.00,5.92692603,-1.171183
 Round,0.28,Ideal,H,SI1,EX,EX,1.01,GIA,61.2,57,None,None,12/10/2008,376.00,5.92958914,-1.2729657
 Round,0.28,Ideal,H,SI1,EX,EX,1.01,GIA,61.3,56,Medium,None,12/10/2008,376.00,5.92958914,-1.2729657
 Princess,0.31,Good,F,VS1,VG,G,1.03,GIA,75.8,77,None,None,12/11/2008,376.00,5.92958914,-1.171183
 Princess,0.33,Very Good,H,VS1,VG,VG,1.02,GIA,68,75,Faint,None,12/10/2008,376.00,5.92958914,-1.1086626
 Princess,0.36,Very Good,F,SI1,G,G,1.13,GIA,71.7,75,None,None,12/11/2008,376.00,5.92958914,-1.0216512
 Princess,0.29,Very Good,H,VVS2,EX,VG,1.03,GIA,73.3,77,None,None,12/11/2008,377.00,5.93224519,-1.2378744
 Round,0.31,Very Good,H,SI2,VG,G,1.01,GIA,57.4,62,None,None,12/10/2008,377.00,5.93224519,-1.171183
 Round,0.31,Very Good,F,SI2,EX,VG,1,GIA,62.7,58,Medium Blue,None,12/10/2008,377.00,5.93224519,-1.171183
 Princess,0.32,Good,H,VS1,VG,G,1.01,GIA,74.3,79,None,None,12/11/2008,377.00,5.93224519,-1.1394343
 Round,0.3,Very Good,H,SI1,VG,VG,1,GIA,62.9,55,None,None,12/10/2008,378.00,5.9348942,-1.2039728
 Princess,0.23,Good,F,VVS2,VG,G,1.04,GIA,75.4,73,None,None,12/18/2008,379.00,5.93753621,-1.469676
 Round,0.24,Ideal,F,SI1,EX,EX,1.01,GIA,61.5,56,None,None,12/10/2008,379.00,5.93753621,-1.4271164
 Round,0.24,Ideal,F,SI1,EX,EX,1.01,GIA,61.7,56,None,None,12/10/2008,379.00,5.93753621,-1.4271164
 Round,0.25,Ideal,H,VS2,EX,VG,1,GIA,62.7,59,None,None,12/10/2008,379.00,5.93753621,-1.3862944
 Round,0.28,Very Good,H,SI1,VG,VG,1.01,GIA,60,63,Medium Blue,None,12/10/2008,379.00,5.93753621,-1.2729657
 Round,0.28,Ideal,H,SI1,VG,EX,1.01,GIA,61.3,57,None,None,12/10/2008,379.00,5.93753621,-1.2729657
 Round,0.3,Good,H,SI1,VG,VG,1,GIA,62.3,62,Medium,None,12/11/2008,379.00,5.93753621,-1.2039728
 Round,0.25,Ideal,H,VS2,EX,EX,1.01,GIA,61.9,55,None,None,12/10/2008,380.00,5.94017125,-1.3862944
 Princess,0.3,Very Good,H,VS2,VG,VG,1,GIA,74.9,70,None,None,12/11/2008,380.00,5.94017125,-1.2039728
 Round,0.24,Very Good,D,SI1,VG,VG,1.01,GIA,61.7,62,None,None,12/09/2008,381.00,5.94279938,-1.4271164
 Round,0.24,Good,D,SI1,G,VG,1.01,GIA,63.1,60,Faint,None,12/09/2008,381.00,5.94279938,-1.4271164
